-182.958, 71.829, 2.356,  4.603
-182.952, 71.750, 2.363,  4.636
-182.946, 71.671, 2.371,  4.669
-182.940, 71.592, 2.379,  4.702
-182.935, 71.513, 2.386,  4.735
-182.929, 71.434, 2.394,  4.768
-182.923, 71.354, 2.401,  4.801
-182.917, 71.274, 2.409,  4.834
-182.911, 71.194, 2.417,  4.867
-182.905, 71.113, 2.425,  4.900
-182.900, 71.032, 2.433,  4.933
-182.894, 70.951, 2.441,  4.966
-182.888, 70.870, 2.448,  4.999
-182.882, 70.788, 2.456,  5.032
-182.876, 70.706, 2.464,  5.065
-182.870, 70.624, 2.472,  5.098
-182.865, 70.542, 2.480,  5.131
-182.859, 70.459, 2.488,  5.164
-182.853, 70.376, 2.496,  5.197
-182.847, 70.293, 2.504,  5.230
-182.842, 70.209, 2.513,  5.263
-182.836, 70.126, 2.521,  5.296
-182.830, 70.042, 2.529,  5.329
-182.824, 69.957, 2.537,  5.362
-182.818, 69.873, 2.545,  5.395
-182.813, 69.788, 2.554,  5.428
-182.807, 69.703, 2.562,  5.461
-182.801, 69.617, 2.570,  5.494
-182.796, 69.532, 2.579,  5.527
-182.790, 69.446, 2.587,  5.560
-182.784, 69.359, 2.596,  5.593
-182.778, 69.273, 2.604,  5.626
-182.773, 69.186, 2.613,  5.659
-182.767, 69.099, 2.621,  5.692
-182.761, 69.011, 2.630,  5.725
-182.755, 68.924, 2.638,  5.758
-182.749, 68.836, 2.647,  5.791
-182.744, 68.748, 2.655,  5.824
-182.738, 68.659, 2.664,  5.857
-182.733, 68.570, 2.673,  5.890
-182.727, 68.481, 2.681,  5.923
-182.721, 68.392, 2.690,  5.956
-182.716, 68.302, 2.699,  5.989
-182.710, 68.212, 2.708,  6.022
-182.704, 68.122, 2.717,  6.055
-182.699, 68.031, 2.726,  6.088
-182.693, 67.940, 2.735,  6.121
-182.687, 67.849, 2.744,  6.154
-182.681, 67.757, 2.753,  6.187
-182.676, 67.666, 2.762,  6.220
-182.670, 67.573, 2.771,  6.253
-182.665, 67.481, 2.780,  6.286
-182.659, 67.388, 2.789,  6.319
-182.653, 67.295, 2.799,  6.352
-182.648, 67.202, 2.808,  6.385
-182.642, 67.108, 2.817,  6.418
-182.637, 67.014, 2.826,  6.451
-182.631, 66.920, 2.836,  6.484
-182.625, 66.825, 2.845,  6.517
-182.620, 66.730, 2.855,  6.550
-182.614, 66.635, 2.864,  6.583
-182.608, 66.540, 2.874,  6.616
-182.602, 66.444, 2.883,  6.649
-182.596, 66.348, 2.893,  6.682
-182.591, 66.251, 2.902,  6.715
-182.585, 66.154, 2.912,  6.748
-182.579, 66.057, 2.922,  6.781
-182.573, 65.960, 2.931,  6.814
-182.567, 65.862, 2.941,  6.847
-182.561, 65.764, 2.951,  6.880
-182.556, 65.665, 2.960,  6.913
-182.550, 65.567, 2.970,  6.946
-182.544, 65.468, 2.980,  6.979
-182.539, 65.368, 2.990,  7.012
-182.533, 65.268, 3.000,  7.045
-182.527, 65.168, 3.010,  7.078
-182.522, 65.068, 3.020,  7.111
-182.516, 64.967, 3.030,  7.144
-182.510, 64.866, 3.040,  7.177
-182.504, 64.765, 3.050,  7.210
-182.498, 64.663, 3.060,  7.243
-182.493, 64.561, 3.070,  7.276
-182.487, 64.458, 3.080,  7.309
-182.482, 64.355, 3.091,  7.342
-182.476, 64.252, 3.101,  7.375
-182.470, 64.149, 3.111,  7.408
-182.465, 64.045, 3.122,  7.441
-182.459, 63.941, 3.132,  7.474
-182.453, 63.836, 3.142,  7.507
-182.448, 63.731, 3.153,  7.540
-182.442, 63.626, 3.163,  7.573
-182.437, 63.521, 3.174,  7.606
-182.431, 63.415, 3.184,  7.639
-182.426, 63.309, 3.195,  7.672
-182.420, 63.202, 3.205,  7.705
-182.414, 63.095, 3.216,  7.738
